Depth,Res
2925,1.259999991
2926,1.259999991
2927,1.259999991
2928,1.259999991
2929,1.259999991
2930,1.259999991
2931,1.259999991
2932,1.259999991
2933,1.259999991
2934,1.269999981
2935,1.269999981
2936,1.269999981
2937,1.269999981
2938,1.269999981
2939,1.269999981
2940,1.269999981
2941,1.269999981
2942,1.269999981
2943,1.269999981
2944,1.269999981
2945,1.269999981
2946,1.269999981
2947,1.269999981
2948,1.279999971
2949,1.279999971
2950,1.289999962
2951,1.299999952
2952,1.309999943
2953,1.330000043
2954,1.340000033
2955,1.370000005
2956,1.389999986
2957,1.409999967
2958,1.440000057
2959,1.460000038
2960,1.509999991
2961,1.580000043
2962,1.590000033
2963,1.559999943
2964,1.519999981
2965,1.710000038
2966,1.889999986
2967,2.150000095
2968,2.309999943
2969,2.410000086
2970,2.349999905
2971,2.210000038
2972,1.919999957
2973,1.789999962
2974,1.809999943
2975,1.889999986
2976,1.779999971
2977,1.649999976
2978,1.590000033
2979,1.610000014
2980,1.809999943
2981,2
2982,2.029999971
2983,1.830000043
2984,1.440000057
2985,1.25
2986,1.210000038
2987,1.399999976
2988,1.529999971
2989,1.509999991
2990,1.409999967
2991,1.379999995
2992,1.600000024
2993,1.75
2994,1.879999995
2995,1.909999967
2996,1.769999981
2997,1.649999976
2998,1.539999962
2999,1.470000029
3000,1.419999957
3001,1.379999995
3002,1.350000024
3003,1.309999943
3004,1.289999962
3005,1.269999981
3006,1.25
3007,1.24000001
3008,1.24000001
3009,1.25
3010,1.25
3011,1.259999991
3012,1.25
3013,1.259999991
3014,1.259999991
3015,1.259999991
3016,1.279999971
3017,1.279999971
3018,1.299999952
3019,1.309999943
3020,1.340000033
3021,1.370000005
3022,1.409999967
3023,1.429999948
3024,1.440000057
3025,1.450000048
3026,1.440000057
3027,1.419999957
3028,1.409999967
3029,1.389999986
3030,1.370000005
3031,1.350000024
3032,1.340000033
3033,1.309999943
3034,1.289999962
3035,1.279999971
3036,1.25
3037,1.24000001
3038,1.230000019
3039,1.220000029
3040,1.230000019
3041,1.230000019
3042,1.230000019
3043,1.230000019
3044,1.230000019
3045,1.230000019
3046,1.230000019
3047,1.230000019
3048,1.220000029
3049,1.220000029
3050,1.210000038
3051,1.200000048
3052,1.179999948
3053,1.169999957
3054,1.139999986
3055,1.120000005
3056,1.110000014
3057,1.100000024
3058,1.080000043
3059,1.070000053
3060,1.049999952
3061,1.039999962
3062,1.029999971
3063,1.009999991
3064,1
3065,1
3066,1
3067,1
3068,1
3069,1.009999991
3070,1.019999981
3071,1.029999971
3072,1.049999952
3073,1.059999943
3074,1.070000053
3075,1.090000033
3076,1.110000014
3077,1.129999995
3078,1.139999986
3079,1.159999967
3080,1.169999957
3081,1.179999948
3082,1.190000057
3083,1.210000038
3084,1.220000029
3085,1.230000019
3086,1.24000001
3087,1.24000001
3088,1.25
3089,1.25
3090,1.25
3091,1.269999981
3092,1.279999971
3093,1.289999962
3094,1.299999952
3095,1.320000053
3096,1.330000043
3097,1.330000043
3098,1.330000043
3099,1.330000043
3100,1.330000043
3101,1.320000053
3102,1.309999943
3103,1.309999943
3104,1.299999952
3105,1.289999962
3106,1.279999971
3107,1.279999971
3108,1.289999962
3109,1.289999962
3110,1.289999962
3111,1.289999962
3112,1.289999962
3113,1.289999962
3114,1.289999962
3115,1.299999952
3116,1.299999952
3117,1.289999962
3118,1.299999952
3119,1.309999943
3120,1.309999943
3121,1.330000043
3122,1.350000024
3123,1.360000014
3124,1.389999986
3125,1.419999957
3126,1.440000057
3127,1.440000057
3128,1.440000057
3129,1.419999957
3130,1.370000005
3131,1.299999952
3132,1.25
3133,1.210000038
3134,1.190000057
3135,1.210000038
3136,1.24000001
3137,1.269999981
3138,1.289999962
3139,1.289999962
3140,1.299999952
3141,1.309999943
3142,1.320000053
3143,1.330000043
3144,1.330000043
3145,1.330000043
3146,1.330000043
3147,1.330000043
3148,1.320000053
3149,1.320000053
3150,1.309999943
3151,1.309999943
3152,1.299999952
3153,1.299999952
3154,1.299999952
3155,1.299999952
3156,1.309999943
3157,1.309999943
3158,1.309999943
3159,1.309999943
3160,1.309999943
3161,1.309999943
3162,1.320000053
3163,1.320000053
3164,1.340000033
3165,1.340000033
3166,1.340000033
3167,1.350000024
3168,1.379999995
3169,1.399999976
3170,1.419999957
3171,1.440000057
3172,1.440000057
3173,1.440000057
3174,1.440000057
3175,1.419999957
3176,1.389999986
3177,1.360000014
3178,1.340000033
3179,1.309999943
3180,1.289999962
3181,1.289999962
3182,1.289999962
3183,1.289999962
3184,1.309999943
3185,1.320000053
3186,1.340000033
3187,1.370000005
3188,1.399999976
3189,1.419999957
3190,1.440000057
3191,1.460000038
3192,1.460000038
3193,1.450000048
3194,1.379999995
3195,1.299999952
3196,1.230000019
3197,1.159999967
3198,1.139999986
3199,1.100000024
3200,1.100000024
3201,1.139999986
3202,1.200000048
3203,1.259999991
3204,1.320000053
3205,1.399999976
3206,1.480000019
3207,1.529999971
3208,1.5
3209,1.360000014
3210,1.289999962
3211,1.24000001
3212,1.200000048
3213,1.190000057
3214,1.190000057
3215,1.190000057
3216,1.190000057
3217,1.200000048
3218,1.220000029
3219,1.259999991
3220,1.279999971
3221,1.289999962
3222,1.299999952
3223,1.320000053
3224,1.320000053
3225,1.320000053
3226,1.309999943
3227,1.289999962
3228,1.269999981
3229,1.25
3230,1.230000019
3231,1.200000048
3232,1.179999948
3233,1.159999967
3234,1.149999976
3235,1.149999976
3236,1.149999976
3237,1.149999976
3238,1.159999967
3239,1.169999957
3240,1.179999948
3241,1.190000057
3242,1.200000048
3243,1.210000038
3244,1.220000029
3245,1.220000029
3246,1.230000019
3247,1.230000019
3248,1.24000001
3249,1.25
3250,1.259999991
3251,1.279999971
3252,1.299999952
3253,1.320000053
3254,1.330000043
3255,1.350000024
3256,1.350000024
3257,1.350000024
3258,1.360000014
3259,1.360000014
3260,1.360000014
3261,1.360000014
3262,1.360000014
3263,1.370000005
3264,1.370000005
3265,1.379999995
3266,1.389999986
3267,1.389999986
3268,1.399999976
3269,1.399999976
3270,1.409999967
3271,1.409999967
3272,1.419999957
3273,1.419999957
3274,1.429999948
3275,1.429999948
3276,1.429999948
3277,1.419999957
3278,1.419999957
3279,1.419999957
3280,1.419999957
3281,1.419999957
3282,1.429999948
3283,1.440000057
3284,1.440000057
3285,1.450000048
3286,1.450000048
3287,1.450000048
3288,1.450000048
